fullName,category_name,group,sport,final_line,top_values
Patrick Mahomes,Rushing yards,offense,Football,221.36,"[299.01, 192.0, 173.07]"
Patrick Mahomes,Rushing tds,offense,Football,58.85,"[173.07, 1.94, 1.55]"
Patrick Mahomes,Interceptions thrown,offense,Football,1.96,"[2.19, 1.94, 1.74]"
Patrick Mahomes,Passing attempts,offense,Football,119.81,"[173.07, 172.65, 13.71]"
Patrick Mahomes,Rushing attempts,offense,Football,59.1,"[172.65, 2.47, 2.19]"
Patrick Mahomes,Passing yards,offense,Football,215.44,"[300.13, 173.1, 173.1]"
Patrick Mahomes,Passing tds,offense,Football,1.89,"[1.94, 1.87, 1.86]"
Patrick Mahomes,Anytime td scorer,offense,Football,58.85,"[173.07, 1.94, 1.55]"
Patrick Mahomes,Longest completion,offense,Football,67.05,"[192.0, 3.43, 5.73]"
Patrick Mahomes,Longest rush,offense,Football,179.38,"[192.0, 173.07, 173.07]"
Patrick Mahomes,Passing completions,offense,Football,131.24,"[384.0, 6.86, 2.86]"
Patrick Mahomes,First td scorer,offense,Football,1.28,[1.28]
Patrick Mahomes,Last td scorer,offense,Football,3.51,"[5.73, 1.28]"
Patrick Mahomes,Passing rushing yards,offense,Football,299.01,"[299.01, 299.01, 299.01]"
Patrick Mahomes,Fumbles,offense,Football,2.45,"[3.23, 2.19, 1.94]"
Patrick Mahomes,Lost fumbles,offense,Football,58.84,"[173.07, 1.94, 1.52]"
Trevor Lawrence,Rushing yards,offense,Football,173.07,"[173.07, 173.07, 173.07]"
Trevor Lawrence,Rushing tds,offense,Football,1.34,"[1.94, 1.49, 0.6]"
Trevor Lawrence,Interceptions thrown,offense,Football,2.05,"[2.34, 1.94, 1.87]"
Trevor Lawrence,Passing attempts,offense,Football,67.47,"[173.07, 15.64, 13.71]"
Trevor Lawrence,Rushing attempts,offense,Football,4.41,"[4.89, 5.73, 2.61]"
Trevor Lawrence,Passing yards,offense,Football,173.09,"[173.1, 173.1, 173.07]"
Trevor Lawrence,Passing tds,offense,Football,2.12,"[2.34, 2.19, 1.82]"
Trevor Lawrence,Anytime td scorer,offense,Football,1.34,"[1.94, 1.49, 0.6]"
Trevor Lawrence,Longest completion,offense,Football,172.93,"[173.07, 173.07, 172.65]"
Trevor Lawrence,Longest rush,offense,Football,173.07,"[173.07, 173.07, 173.07]"
Trevor Lawrence,Passing completions,offense,Football,172.79,"[173.07, 172.65, 172.65]"
Trevor Lawrence,First td scorer,offense,Football,1.18,[1.18]
Trevor Lawrence,Last td scorer,offense,Football,1.22,[1.22]
Trevor Lawrence,Passing rushing yards,offense,Football,257.44,"[300.2, 299.01, 173.1]"
Trevor Lawrence,Fumbles,offense,Football,1.83,"[1.94, 1.87, 1.67]"
Trevor Lawrence,Lost fumbles,offense,Football,1.08,[1.08]
Isiah Pacheco,Rushing yards,offense,Football,243.38,"[384.0, 173.07, 173.07]"
Isiah Pacheco,Rushing tds,offense,Football,1.78,"[1.94, 1.63]"
Isiah Pacheco,Rushing attempts,offense,Football,59.58,"[173.07, 2.87, 2.8]"
Isiah Pacheco,Receptions,offense,Football,59.16,"[173.07, 2.47, 1.94]"
Isiah Pacheco,Receiving yards,offense,Football,215.05,"[299.01, 173.07, 173.07]"
Isiah Pacheco,Receiving tds,offense,Football,1.66,"[1.94, 1.38]"
Isiah Pacheco,Anytime td scorer,offense,Football,2.35,"[3.23, 1.94, 1.87]"
Isiah Pacheco,Longest rush,offense,Football,173.07,"[173.07, 173.07, 173.07]"
Isiah Pacheco,Longest reception,offense,Football,172.93,"[173.07, 173.07, 172.65]"
Isiah Pacheco,Receiving rushing yards,offense,Football,173.07,"[173.07, 173.07, 173.07]"
Isiah Pacheco,First td scorer,offense,Football,1.39,[1.39]
Isiah Pacheco,Last td scorer,offense,Football,1.38,[1.38]
Isiah Pacheco,Fumbles,offense,Football,1.68,"[1.94, 1.43]"
Isiah Pacheco,Lost fumbles,offense,Football,1.63,"[1.94, 1.32]"
Travis Kelce,Rushing yards,offense,Football,173.07,"[173.07, 173.07, 173.07]"
Travis Kelce,Rushing tds,offense,Football,149.96,"[299.01, 0.91]"
Travis Kelce,Rushing attempts,offense,Football,3.97,"[8.65, 1.87, 1.39]"
Travis Kelce,Receptions,offense,Football,2.9,"[2.86, 3.23, 2.61]"
Travis Kelce,Receiving yards,offense,Football,179.38,"[192.0, 173.07, 173.07]"
Travis Kelce,Receiving tds,offense,Football,1.5,"[1.94, 1.65, 0.91]"
Travis Kelce,Anytime td scorer,offense,Football,-6.71,"[1.94, 1.65, -23.71]"
Travis Kelce,Longest reception,offense,Football,179.38,"[192.0, 173.07, 173.07]"
Travis Kelce,First td scorer,offense,Football,1.38,[1.38]
Travis Kelce,Last td scorer,offense,Football,1.35,[1.35]
Travis Kelce,Fumbles,offense,Football,1.62,"[1.94, 1.31]"
Travis Kelce,Lost fumbles,offense,Football,1.57,"[1.94, 1.2]"
Harrison Butker,Field goal made,specialteams,Football,58.96,"[173.07, 1.94, 1.87]"
Harrison Butker,Extra point made,specialteams,Football,5.25,"[10.95, 2.47, 2.34]"
Harrison Butker,Kicking points,specialteams,Football,19.57,"[27.97, 27.97, 2.77]"
Hollywood Brown,Rushing yards,offense,Football,173.07,"[173.07, 173.07, 173.07]"
Hollywood Brown,Rushing attempts,offense,Football,1.61,"[1.87, 1.35]"
Hollywood Brown,Receptions,offense,Football,2.77,"[3.23, 2.61, 2.47]"
Hollywood Brown,Receiving yards,offense,Football,221.36,"[299.01, 192.0, 173.07]"
Hollywood Brown,Receiving tds,offense,Football,1.3,"[1.94, 1.64, 0.33]"
Hollywood Brown,Anytime td scorer,offense,Football,3.1,"[5.73, 1.94, 1.64]"
Hollywood Brown,Longest reception,offense,Football,65.29,"[173.07, 13.71, 9.08]"
Hollywood Brown,Receiving rushing yards,offense,Football,179.25,"[192.0, 173.1, 172.65]"
Hollywood Brown,First td scorer,offense,Football,1.37,[1.37]
Hollywood Brown,Last td scorer,offense,Football,1.37,[1.37]
Hollywood Brown,Fumbles,offense,Football,1.62,"[1.94, 1.31]"
Hollywood Brown,Lost fumbles,offense,Football,-20.23,"[1.18, -41.63]"
Xavier Worthy,Rushing yards,offense,Football,215.06,"[299.01, 173.1, 173.07]"
Xavier Worthy,Rushing attempts,offense,Football,58.96,"[173.07, 1.94, 1.87]"
Xavier Worthy,Receptions,offense,Football,63.79,"[173.07, 15.64, 2.67]"
Xavier Worthy,Receiving yards,offense,Football,215.05,"[299.01, 173.07, 173.07]"
Xavier Worthy,Receiving tds,offense,Football,1.8,"[1.94, 1.66]"
Xavier Worthy,Anytime td scorer,offense,Football,1.8,"[1.94, 1.66]"
Xavier Worthy,Longest reception,offense,Football,221.36,"[299.01, 192.0, 173.07]"
Xavier Worthy,Receiving rushing yards,offense,Football,215.05,"[299.01, 173.07, 173.07]"
Xavier Worthy,First td scorer,offense,Football,1.39,[1.39]
Xavier Worthy,Last td scorer,offense,Football,1.4,[1.4]
Xavier Worthy,Fumbles,offense,Football,1.65,"[1.94, 1.36]"
Xavier Worthy,Lost fumbles,offense,Football,1.58,"[1.94, 1.21]"
Kareem Hunt,Rushing yards,offense,Football,243.38,"[384.0, 173.07, 173.07]"
Kareem Hunt,Rushing tds,offense,Football,1.79,"[1.94, 1.64]"
Kareem Hunt,Rushing attempts,offense,Football,2.69,"[2.8, 2.67, 2.61]"
Kareem Hunt,Receptions,offense,Football,2.51,"[3.24, 2.34, 1.94]"
Kareem Hunt,Receiving yards,offense,Football,173.07,"[173.07, 173.07, 173.07]"
Kareem Hunt,Receiving tds,offense,Football,1.67,"[1.94, 1.4]"
Kareem Hunt,Anytime td scorer,offense,Football,1.83,"[1.94, 1.87, 1.67]"
Kareem Hunt,Longest rush,offense,Football,124.58,"[173.07, 172.65, 28.01]"
Kareem Hunt,Longest reception,offense,Football,124.7,"[173.07, 173.07, 27.97]"
Kareem Hunt,Receiving rushing yards,offense,Football,179.38,"[192.0, 173.07, 173.07]"
Kareem Hunt,First td scorer,offense,Football,1.41,[1.41]
Kareem Hunt,Last td scorer,offense,Football,1.4,[1.4]
Kareem Hunt,Fumbles,offense,Football,1.68,"[1.94, 1.43]"
Kareem Hunt,Lost fumbles,offense,Football,1.63,"[1.94, 1.32]"
Cam Little,Field goal made,specialteams,Football,60.25,"[173.07, 5.73, 1.94]"
Cam Little,Extra point made,specialteams,Football,2.05,"[2.34, 1.94, 1.87]"
Cam Little,Kicking points,specialteams,Football,5.3,"[10.37, 2.8, 2.73]"
Travis Hunter,Rushing yards,offense,Football,243.38,"[384.0, 173.07, 173.07]"
Travis Hunter,Rushing attempts,offense,Football,-0.3,"[1.87, 1.34, -4.1]"
Travis Hunter,Receptions,offense,Football,2.09,"[2.47, 1.94, 1.86]"
Travis Hunter,Receiving yards,offense,Football,215.05,"[299.01, 173.07, 173.07]"
Travis Hunter,Receiving tds,offense,Football,58.86,"[173.07, 1.94, 1.58]"
Travis Hunter,Anytime td scorer,offense,Football,58.86,"[173.07, 1.94, 1.58]"
Travis Hunter,Longest reception,offense,Football,179.38,"[192.0, 173.07, 173.07]"
Travis Hunter,Receiving rushing yards,offense,Football,215.05,"[299.01, 173.07, 173.07]"
Travis Hunter,First td scorer,offense,Football,1.28,[1.28]
Travis Hunter,Last td scorer,offense,Football,1.29,[1.29]
Travis Hunter,Fumbles,offense,Football,1.64,"[1.94, 1.34]"
Travis Hunter,Lost fumbles,offense,Football,1.18,[1.18]
Brian Thomas Jr.,Rushing yards,offense,Football,215.05,"[299.01, 173.07, 173.07]"
Brian Thomas Jr.,Rushing attempts,offense,Football,1.91,"[2.19, 1.86, 1.67]"
Brian Thomas Jr.,Receptions,offense,Football,2.44,"[2.67, 2.47, 2.19]"
Brian Thomas Jr.,Receiving yards,offense,Football,243.38,"[384.0, 173.07, 173.07]"
Brian Thomas Jr.,Receiving tds,offense,Football,1.8,"[1.94, 1.65]"
Brian Thomas Jr.,Anytime td scorer,offense,Football,1.8,"[1.94, 1.66]"
Brian Thomas Jr.,Longest reception,offense,Football,119.95,"[173.07, 173.07, 13.71]"
Brian Thomas Jr.,Receiving rushing yards,offense,Football,179.38,"[192.0, 173.07, 173.07]"
Brian Thomas Jr.,First td scorer,offense,Football,3.14,"[4.9, 1.38]"
Brian Thomas Jr.,Last td scorer,offense,Football,1.4,[1.4]
Brian Thomas Jr.,Fumbles,offense,Football,0.85,[0.85]
Brian Thomas Jr.,Lost fumbles,offense,Football,1.58,"[1.94, 1.22]"
Tyquan Thornton,Rushing yards,offense,Football,59.55,"[173.07, 2.82, 2.76]"
Tyquan Thornton,Rushing attempts,offense,Football,1.24,[1.24]
Tyquan Thornton,Receptions,offense,Football,10.88,"[27.97, 2.47, 2.19]"
Tyquan Thornton,Receiving yards,offense,Football,215.05,"[299.01, 173.07, 173.07]"
Tyquan Thornton,Receiving tds,offense,Football,58.85,"[173.07, 1.94, 1.53]"
Tyquan Thornton,Anytime td scorer,offense,Football,58.85,"[173.07, 1.94, 1.53]"
Tyquan Thornton,Longest reception,offense,Football,263.34,"[299.01, 299.01, 192.0]"
Tyquan Thornton,Receiving rushing yards,offense,Football,285.36,"[384.0, 299.01, 173.07]"
Tyquan Thornton,First td scorer,offense,Football,1.24,[1.24]
Tyquan Thornton,Last td scorer,offense,Football,1.26,[1.26]
Tyquan Thornton,Fumbles,offense,Football,1.15,[1.15]
Tyquan Thornton,Lost fumbles,offense,Football,1.0,[1.0]
Bhayshul Tuten,Rushing yards,offense,Football,215.06,"[299.01, 173.1, 173.07]"
Bhayshul Tuten,Rushing tds,offense,Football,58.85,"[173.07, 1.94, 1.55]"
Bhayshul Tuten,Rushing attempts,offense,Football,3.6,"[5.73, 2.61, 2.47]"
Bhayshul Tuten,Receptions,offense,Football,1.93,"[2.19, 1.81, 1.78]"
Bhayshul Tuten,Receiving yards,offense,Football,66.24,"[192.0, 3.43, 3.29]"
Bhayshul Tuten,Receiving tds,offense,Football,1.6,"[1.94, 1.26]"
Bhayshul Tuten,Anytime td scorer,offense,Football,1.77,"[1.94, 1.6]"
Bhayshul Tuten,Longest rush,offense,Football,179.38,"[192.0, 173.07, 173.07]"
Bhayshul Tuten,Longest reception,offense,Football,66.1,"[192.0, 3.43, 2.86]"
Bhayshul Tuten,Receiving rushing yards,offense,Football,124.57,"[192.0, 173.07, 8.65]"
Bhayshul Tuten,First td scorer,offense,Football,1.32,[1.32]
Bhayshul Tuten,Last td scorer,offense,Football,1.31,[1.31]
Bhayshul Tuten,Fumbles,offense,Football,1.34,"[1.94, 1.47, 0.6]"
Bhayshul Tuten,Lost fumbles,offense,Football,-22.8,"[1.94, 1.34, -71.68]"
Travis Etienne Jr.,Rushing yards,offense,Football,173.07,"[173.07, 173.07, 173.07]"
Travis Etienne Jr.,Rushing tds,offense,Football,1.85,"[1.94, 1.87, 1.73]"
Travis Etienne Jr.,Rushing attempts,offense,Football,119.03,"[173.07, 173.07, 10.95]"
Travis Etienne Jr.,Receptions,offense,Football,59.32,"[173.07, 2.55, 2.34]"
Travis Etienne Jr.,Receiving yards,offense,Football,173.07,"[173.07, 173.07, 173.07]"
Travis Etienne Jr.,Receiving tds,offense,Football,1.67,"[1.94, 1.4]"
Travis Etienne Jr.,Anytime td scorer,offense,Football,1.85,"[1.94, 1.87, 1.75]"
Travis Etienne Jr.,Longest rush,offense,Football,168.88,"[299.01, 192.0, 15.64]"
Travis Etienne Jr.,Longest reception,offense,Football,179.38,"[192.0, 173.07, 173.07]"
Travis Etienne Jr.,Receiving rushing yards,offense,Football,221.37,"[299.01, 192.0, 173.1]"
Travis Etienne Jr.,First td scorer,offense,Football,1.52,[1.52]
Travis Etienne Jr.,Last td scorer,offense,Football,1.49,[1.49]
Travis Etienne Jr.,Fumbles,offense,Football,58.84,"[173.07, 1.94, 1.51]"
Travis Etienne Jr.,Lost fumbles,offense,Football,1.67,"[1.94, 1.4]"
JuJu Smith-Schuster,Rushing yards,offense,Football,173.07,"[173.07, 173.07, 173.07]"
JuJu Smith-Schuster,Rushing attempts,offense,Football,1.6,"[1.87, 1.33]"
