category_id,category_name,group,sport
Z2lkOi8vaHMzL0NhdGVnb3J5Lzg5,Defensive tackles assists,defense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzMxMA,First half passing attempts,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5Lzc4,Rushing attempts,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5Lzc3,Passing attempts,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzE0OQ,First half moneyline,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzE1MA,First half spread,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzE1NA,Second half totals,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzE1NQ,First quarter moneyline,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzI3MQ,First half passing yards,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzI3Mw,First quarter passing yards,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzI3NQ,Third quarter passing yards,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzI3Ng,Fourth quarter passing yards,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzMwNw,First half interceptions,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5Lzcx,Passing tds,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5Lzcz,Receiving tds,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5Lzc0,Rushing yards,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5Lzc1,Rushing tds,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5Lzc2,Interceptions thrown,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5Lzc5,Receptions,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5Lzgw,Receiving rushing yards,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5Lzgy,First td scorer,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5Lzgz,Last td scorer,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5Lzg0,Anytime td scorer,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5Lzg1,Longest completion,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5Lzg2,Longest rush,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5Lzkw,Field goal made,specialteams,Football
Z2lkOi8vaHMzL0NhdGVnb3J5Lzkx,Extra point made,specialteams,Football
Z2lkOi8vaHMzL0NhdGVnb3J5Lzkz,Sacks,defense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5Lzk0,Defensive interceptions,defense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5Lzk1,Passing rushing yards,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5Lzk2,Fumbles,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5Lzk3,Lost fumbles,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5Lzk4,Team lost fumbles,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzEwMA,Moneyline,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzEwMQ,Spread,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzEwMg,Totals,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzEwMw,Team rushing attempts,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzEwNA,Team receiving touchdowns,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzEwNQ,Team passing touchdowns,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzEwNg,Team passing yards,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzEwNw,Team receptions,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzEwOA,Team defensive tackles,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzEwOQ,Match receiving yards,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzExMA,Match rushing yards,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzExMQ,Match passing yards,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzExMg,Match passing completions,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzExMw,Match tackles assists,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzExNA,Team first touchdown,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzExNQ,Team last touchdown,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzExNg,No touchdown,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzExNw,Team defense or st touchdown,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzExOA,Team receiving yards,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzExOQ,Team total touchdowns,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzEyMA,Team rush touchdowns,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzEyMQ,Team rushing yards,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzEyMg,Team offense touchdowns,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzEyMw,Team offense yards,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzEyNA,Team rushing and receiving yards,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzEyNQ,Team points,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzEyNg,Team defensive tackles and assists,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzEyNw,Team sacks,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzEyOA,Match total touchdowns,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzEyOQ,Match rushing touchdowns,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5Lzg4,Defensive assists,defense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5Lzgx,Passing completions,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzEzMA,Match passing touchdowns,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzEzMQ,Match receiving touchdowns,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzEzMg,Match offensive touchdowns,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzEzMw,Match offense yards,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzEzNA,Match rushing and receiving yards,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzEzNQ,Match passing and rushing yards,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzEzNg,Match rushing attempts,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzEzNw,Match receptions,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzEzOA,Match tackles,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzEzOQ,Match sacks,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzE0MA,Match assists,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzE0MQ,Team passing yard gross,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzE0Mg,Match passing yard gross,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzE0Mw,Team 2pt made,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzE0NA,Team 2pt attempts,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzE0NQ,Match 2pt made,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzE0Ng,Match 2pt attempts,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzE0Nw,Team fumbles,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzE0OA,Match fumbles,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzE1MQ,First half totals,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzE1Mg,Second half moneyline,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzE1Mw,Second half spread,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzE1Ng,First quarter spread,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzE1Nw,First quarter totals,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzE1OA,Second quarter moneyline,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzE1OQ,Second quarter spread,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzE2MA,Second quarter totals,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzE2MQ,Third quarter moneyline,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzE2Mg,Third quarter spread,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzE2Mw,Third quarter totals,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzE2NA,Fourth quarter moneyline,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzE2NQ,Fourth quarter spread,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzE2Ng,Fourth quarter totals,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5Lzcw,Passing yards,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5Lzcy,Receiving yards,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5Lzg3,Longest reception,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5Lzky,Kicking points,specialteams,Football
Z2lkOi8vaHMzL0NhdGVnb3J5Lzk5,Match lost fumbles,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzI3MA,Tackles,defense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzI3Mg,Second half passing yards,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzI4Mw,Leaders team receiving yards,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzI4NA,Leaders game receiving yards,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzI4NQ,Leaders day receiving yards,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzI4OQ,Leaders team receiving touchdowns,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzI5MA,Leaders game receiving touchdowns,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzI5MQ,Leaders day receiving touchdowns,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzI5NQ,Leaders team rushing yards,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzI5Ng,Leaders game rushing yards,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzI5Nw,Leaders day rushing yards,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzMwMQ,Leaders team rushing touchdowns,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzMwMg,Leaders game rushing touchdowns,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzMwMw,Leaders day rushing touchdowns,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzMxNg,Leaders team receptions,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzMxNw,Leaders game receptions,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzMxOA,Leaders day receptions,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzMyOA,Leaders team anytime touchdown,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzMyOQ,Leaders game anytime touchdown,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzMzMA,Leaders day anytime touchdown,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzMxMQ,Second half passing attempts,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzMxMg,First quarter passing attempts,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzMxMw,First half rushing attempts,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzMxNA,Second half rushing attempts,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzMxNQ,First quarter rushing attempts,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzMyNQ,First half passing completions,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzMyNg,Second half passing completions,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzMyNw,First quarter passing completions,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzI3NA,Second quarter passing yards,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzI3Nw,First half passing touchdowns,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzI3OA,Second half passing touchdowns,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzI3OQ,First quarter passing touchdowns,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzI4MA,Second quarter passing touchdowns,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzI4MQ,Third quarter passing touchdowns,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzI4Mg,Fourth quarter passing touchdowns,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzI4Ng,First half receiving yards,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzI4Nw,Second half receiving yards,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzI4OA,First quarter receiving yards,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzI5Mg,First half receiving touchdowns,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzI5Mw,Second half receiving touchdowns,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzI5NA,First quarter receiving touchdowns,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzI5OA,First half rushing yards,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzI5OQ,Second half rushing yards,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzMwMA,First quarter rushing yards,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzMwNA,First half rushing touchdowns,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzMwNQ,Second half rushing touchdowns,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzMwNg,First quarter rushing touchdowns,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzMwOA,Second half interceptions,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzMwOQ,First quarter interceptions,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzMxOQ,First half receptions,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzMyMA,Second half receptions,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzMyMQ,First quarter receptions,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzMyMg,First half rushing receiving yards,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzMyMw,Second half rushing receiving yards,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzMyNA,First quarter rushing receiving yards,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzMzMQ,First half anytime touchdown,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzMzMg,Second half anytime touchdown,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzMzNw,Leaders team longest reception,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzMzOA,Leaders game longest reception,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzMzOQ,Leaders day longest reception,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzM0MA,Leaders team longest rush,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzM0MQ,Leaders game longest rush,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzM0Mg,Leaders day longest rush,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzM5MA,Match passing attempts,uncategorized,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzM1OA,Second quarter passing attempts,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzM1OQ,Third quarter passing attempts,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzM2MA,Fourth quarter passing attempts,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzM2MQ,Second quarter rushing attempts,offense,Football
Z2lkOi8vaHMzL0NhdGVnb3J5LzM2Mg,Third quarter rushing attempts,offense,Football
